Dataset,Model,CV_Macro_F1,CV_Macro_F1_STD,Test_Accuracy,Test_Precision,Test_Recall,Test_Weighted_F1,Test_Macro_F1,Test_ROC_AUC
hypertension,LightGBM,0.9442886434343298,0.0038236078058956607,0.948,0.9485144012861663,0.948,0.9480009115021869,0.9481410155772111,0.9970605700621339
hypertension,RandomForest,0.9440103559204509,0.007528380145253573,0.943,0.9450015529574194,0.943,0.9425612686223976,0.9427302111576306,0.9967630882040708
hypertension,XGBoost,0.9423646393986681,0.004859762125181647,0.942,0.942518279202314,0.942,0.9419619801322671,0.9421123993469659,0.9971818470110209
