Dataset,Model,CV_Macro_F1,CV_Macro_F1_STD,Test_Accuracy,Test_Precision,Test_Recall,Test_Weighted_F1,Test_Macro_F1,Test_ROC_AUC
kidney,XGBoost,0.8270564321821832,0.011748453747018585,0.832,0.8313207648239107,0.832,0.8314128650585343,0.8277867579152287,0.9649975921322395
kidney,RandomForest,0.8257124780522546,0.009637038750695952,0.832,0.8309483744276375,0.832,0.8306993101811613,0.8271030510268467,0.9629230021237946
kidney,LightGBM,0.8177607798507852,0.00747442893742049,0.828,0.8270798182841654,0.828,0.827334817267284,0.8236687730997421,0.9640025313682098
