Dataset,Model,CV_Macro_F1,CV_Macro_F1_STD,Test_Accuracy,Test_Precision,Test_Recall,Test_Weighted_F1,Test_Macro_F1,Test_ROC_AUC
diabetes,RandomForest,0.8885979634694658,0.008317007586390791,0.876,0.8756951649034095,0.876,0.8751834862232525,0.875092165630426,0.9708326646220633
diabetes,XGBoost,0.8926219659163804,0.00828966077805965,0.873,0.8730946748539585,0.873,0.8724028031134181,0.8722210270221026,0.9725356216585933
diabetes,LightGBM,0.8922548158495471,0.01042755058548751,0.871,0.8705076319561444,0.871,0.8700050878896367,0.8697972283260538,0.9718671400883532
