Dataset,Model,CV_Macro_F1,CV_Macro_F1_STD,Test_Accuracy,Test_Precision,Test_Recall,Test_Weighted_F1,Test_Macro_F1,Test_ROC_AUC
heart,RandomForest,0.9590020201664681,0.007009809871225742,0.96,0.961317617866005,0.96,0.9599229762384213,0.9598268223922675,0.9964759597378277
heart,XGBoost,0.9569943327016741,0.00501952058658248,0.954,0.9545641827165474,0.954,0.9539618305255216,0.9538496354035706,0.9963360393258427
heart,LightGBM,0.9547516945494399,0.005751795109252321,0.951,0.9516496064978307,0.951,0.9509519417567287,0.9508327203455366,0.9960149890761548
