Dataset,Model,CV_Macro_F1,CV_Macro_F1_STD,Test_Accuracy,Test_Precision,Test_Recall,Test_Weighted_F1,Test_Macro_F1,Test_ROC_AUC
dialysis,RandomForest,0.8122145273006183,0.0063824596881131785,0.805,0.8124965620332653,0.805,0.8076978698456125,0.7990358934271383,0.9321066341472876
dialysis,XGBoost,0.7985810117212354,0.01047904734908693,0.797,0.8036418228632679,0.797,0.7994753820585975,0.7887589764843798,0.9312944700165054
dialysis,LightGBM,0.7882935210686203,0.013596034091806318,0.786,0.7928680181063503,0.786,0.7887124255785689,0.7761755390602755,0.9263846627392806
