Urine_Protein,Acute Kidney Injury,Chronic Kidney Disease,Diabetic Nephropathy,Glomerulonephritis,Kidney Stones
+1,13.711001642036125,24.302134646962234,23.070607553366173,24.38423645320197,14.532019704433496
+2,7.648183556405354,26.099426386233272,26.19502868068834,30.688336520076483,9.369024856596559
+3,6.382978723404255,28.368794326241137,27.482269503546096,32.09219858156028,5.673758865248227
Negative,36.83712121212121,7.954545454545454,7.196969696969697,8.428030303030303,39.58333333333333
Trace,29.749103942652326,13.709677419354838,14.42652329749104,15.949820788530467,26.16487455197133
